Date,Category,Amount,Payment_Mode,Month,Tax
01-01-2024,Transport,3279,Cash,May,328
02-01-2024,Entertainment,2080,Card,December,208
02-01-2024,Transport,3217,Online,December,322
02-01-2024,Utilities,1054,Online,May,105
05-01-2024,Food,13249,Cash,December,1325
05-01-2024,Entertainment,14800,Cash,January,1480
08-01-2024,Shopping,10856,Online,April,1086
09-01-2024,Shopping,3630,Card,January,363
09-01-2024,Rent,9227,Online,March,923
10-01-2024,Food,2765,Online,July,277
12-01-2024,Rent,7214,Cash,September,721
12-01-2024,Health,5572,Card,November,557
14-01-2024,Utilities,11452,Card,March,1145
15-01-2024,Food,9539,Cash,January,954
15-01-2024,Rent,2483,Online,November,248
16-01-2024,Food,12975,Card,April,1298
17-01-2024,Entertainment,7157,Online,March,716
18-01-2024,Transport,6395,Card,May,640
19-01-2024,Transport,10682,Online,November,1068
20-01-2024,Entertainment,2465,Card,December,247
21-01-2024,Entertainment,10400,Cash,May,1040
21-01-2024,Transport,12547,Online,June,1255
22-01-2024,Rent,2365,Online,January,237
22-01-2024,Rent,7394,Card,July,739
23-01-2024,Transport,13769,Cash,November,1377
25-01-2024,Entertainment,12857,Cash,January,1286
27-01-2024,Food,1660,Online,November,166
28-01-2024,Shopping,9054,Online,August,905
28-01-2024,Shopping,7661,Cash,April,766
29-01-2024,Health,10137,Online,July,1014
02-02-2024,Entertainment,999,Cash,January,100
02-02-2024,Shopping,4098,Online,October,410
04-02-2024,Shopping,9647,Card,June,965
04-02-2024,Health,4214,Online,September,421
05-02-2024,Entertainment,14836,Card,January,1484
05-02-2024,Entertainment,11344,Card,December,1134
06-02-2024,Utilities,2820,Cash,February,282
06-02-2024,Rent,6336,Card,July,634
06-02-2024,Entertainment,6328,Card,May,633
07-02-2024,Health,13261,Card,August,1326
08-02-2024,Food,5799,Cash,April,580
08-02-2024,Health,13181,Online,January,1318
08-02-2024,Food,10833,Online,November,1083
10-02-2024,Shopping,2528,Online,September,253
10-02-2024,Shopping,12813,Card,November,1281
10-02-2024,Health,4411,Online,December,441
11-02-2024,Entertainment,6994,Online,January,699
12-02-2024,Food,10924,Online,November,1092
15-02-2024,Utilities,9374,Online,October,937
16-02-2024,Food,6394,Online,November,639
16-02-2024,Shopping,10652,Cash,August,1065
16-02-2024,Entertainment,5799,Card,November,580
17-02-2024,Health,10421,Cash,March,1042
18-02-2024,Shopping,3765,Cash,August,377
20-02-2024,Food,8319,Online,May,832
22-02-2024,Health,5824,Card,September,582
22-02-2024,Utilities,6673,Online,August,667
22-02-2024,Utilities,11403,Card,August,1140
23-02-2024,Rent,12070,Card,December,1207
23-02-2024,Utilities,12336,Card,July,1234
27-02-2024,Health,1490,Cash,July,149
27-02-2024,Entertainment,245,Online,September,25
27-02-2024,Utilities,1200,Card,April,120
27-02-2024,Rent,9335,Card,September,934
28-02-2024,Transport,3945,Online,July,395
02-03-2024,Shopping,11656,Online,August,1166
03-03-2024,Utilities,12743,Cash,August,1274
05-03-2024,Rent,2239,Cash,November,224
09-03-2024,Utilities,12711,Card,May,1271
09-03-2024,Shopping,12215,Card,January,1222
10-03-2024,Utilities,109,Online,December,11
12-03-2024,Food,10333,Online,August,1033
14-03-2024,Food,1386,Card,January,139
15-03-2024,Health,12381,Card,February,1238
16-03-2024,Utilities,8312,Online,June,831
16-03-2024,Rent,12160,Online,September,1216
20-03-2024,Health,4458,Card,March,446
21-03-2024,Transport,12908,Card,February,1291
21-03-2024,Entertainment,1033,Cash,May,103
26-03-2024,Shopping,11483,Cash,April,1148
26-03-2024,Entertainment,6670,Card,February,667
28-03-2024,Health,13713,Card,May,1371
30-03-2024,Entertainment,14584,Cash,May,1458
30-03-2024,Entertainment,14832,Cash,May,1483
31-03-2024,Health,1172,Cash,March,117
01-04-2024,Rent,1740,Card,January,174
01-04-2024,Food,8421,Cash,September,842
03-04-2024,Food,6627,Cash,October,663
05-04-2024,Entertainment,4393,Cash,September,439
05-04-2024,Entertainment,7159,Card,October,716
05-04-2024,Shopping,11181,Online,February,1118
08-04-2024,Food,11630,Card,January,1163
08-04-2024,Transport,9046,Cash,November,905
08-04-2024,Health,12629,Online,July,1263
08-04-2024,Health,394,Card,May,39
08-04-2024,Shopping,7105,Online,January,711
08-04-2024,Food,13176,Cash,March,1318
08-04-2024,Entertainment,13716,Card,April,1372
09-04-2024,Utilities,12165,Cash,June,1217
09-04-2024,Rent,8302,Cash,September,830
12-04-2024,Shopping,3532,Online,October,353
12-04-2024,Shopping,4594,Cash,January,459
13-04-2024,Food,629,Card,September,63
13-04-2024,Health,1809,Card,September,181
15-04-2024,Transport,1074,Cash,December,107
15-04-2024,Health,6216,Card,September,622
16-04-2024,Health,10526,Online,December,1053
18-04-2024,Transport,3710,Online,February,371
21-04-2024,Transport,205,Card,July,21
22-04-2024,Food,11803,Online,October,1180
22-04-2024,Rent,5726,Card,March,573
22-04-2024,Food,11525,Online,February,1153
24-04-2024,Transport,8289,Card,June,829
25-04-2024,Health,10269,Card,November,1027
26-04-2024,Entertainment,9260,Online,June,926
26-04-2024,Health,1056,Online,December,106
27-04-2024,Transport,12120,Card,August,1212
29-04-2024,Food,9947,Online,July,995
29-04-2024,Health,2049,Online,January,205
01-05-2024,Transport,2575,Card,September,258
01-05-2024,Rent,9230,Cash,January,923
02-05-2024,Entertainment,6442,Cash,March,644
03-05-2024,Utilities,12257,Online,October,1226
04-05-2024,Entertainment,13860,Online,February,1386
05-05-2024,Utilities,12437,Online,February,1244
06-05-2024,Food,10673,Cash,April,1067
07-05-2024,Utilities,1055,Cash,December,106
08-05-2024,Entertainment,2704,Card,August,270
09-05-2024,Rent,5279,Card,January,528
10-05-2024,Food,6468,Cash,June,647
10-05-2024,Food,14661,Card,July,1466
10-05-2024,Utilities,10401,Card,June,1040
11-05-2024,Food,4716,Online,March,472
12-05-2024,Food,5639,Card,April,564
13-05-2024,Health,10929,Online,May,1093
14-05-2024,Transport,2819,Online,October,282
14-05-2024,Entertainment,10346,Card,September,1035
18-05-2024,Utilities,4386,Online,December,439
22-05-2024,Food,14723,Online,August,1472
22-05-2024,Utilities,3255,Cash,March,326
23-05-2024,Food,10545,Online,March,1055
23-05-2024,Rent,4246,Cash,April,425
23-05-2024,Health,8664,Card,April,866
23-05-2024,Food,13499,Online,July,1350
24-05-2024,Transport,5391,Cash,June,539
26-05-2024,Food,8686,Online,May,869
27-05-2024,Health,13475,Cash,December,1348
28-05-2024,Food,14214,Cash,June,1421
29-05-2024,Transport,5643,Online,June,564
30-05-2024,Health,7251,Cash,April,725
30-05-2024,Rent,2143,Online,February,214
31-05-2024,Health,14156,Cash,May,1416
01-06-2024,Health,1995,Cash,August,200
02-06-2024,Health,9500,Cash,July,950
03-06-2024,Transport,12573,Cash,February,1257
05-06-2024,Rent,7414,Cash,March,741
06-06-2024,Shopping,8603,Online,October,860
08-06-2024,Rent,9005,Cash,July,901
08-06-2024,Utilities,14387,Online,November,1439
08-06-2024,Health,9177,Cash,August,918
09-06-2024,Transport,9679,Online,April,968
09-06-2024,Entertainment,5483,Card,July,548
09-06-2024,Entertainment,7374,Cash,December,737
10-06-2024,Transport,12841,Cash,July,1284
11-06-2024,Health,9973,Online,July,997
11-06-2024,Food,3244,Cash,May,324
13-06-2024,Health,9700,Online,July,970
15-06-2024,Shopping,4915,Card,January,492
15-06-2024,Health,12361,Card,August,1236
16-06-2024,Health,13075,Online,November,1308
16-06-2024,Entertainment,8736,Card,March,874
18-06-2024,Rent,6541,Online,May,654
19-06-2024,Entertainment,14959,Card,April,1496
20-06-2024,Shopping,761,Cash,May,76
21-06-2024,Rent,6774,Online,August,677
21-06-2024,Rent,5116,Cash,April,512
22-06-2024,Transport,2459,Online,November,246
24-06-2024,Food,11206,Online,June,1121
25-06-2024,Shopping,5545,Card,September,555
26-06-2024,Health,9877,Cash,September,988
28-06-2024,Shopping,5338,Online,June,534
29-06-2024,Rent,13743,Online,November,1374
30-06-2024,Entertainment,6395,Online,May,640
02-07-2024,Transport,14423,Card,November,1442
04-07-2024,Utilities,13567,Card,February,1357
05-07-2024,Entertainment,13647,Card,January,1365
06-07-2024,Shopping,14160,Card,October,1416
07-07-2024,Entertainment,8567,Card,February,857
08-07-2024,Food,11286,Cash,June,1129
08-07-2024,Health,11462,Cash,October,1146
08-07-2024,Shopping,8953,Cash,December,895
08-07-2024,Transport,12140,Online,December,1214
08-07-2024,Transport,10338,Cash,August,1034
09-07-2024,Transport,1056,Cash,January,106
09-07-2024,Food,2952,Cash,June,295
10-07-2024,Utilities,8079,Online,June,808
10-07-2024,Shopping,6159,Card,January,616
10-07-2024,Utilities,3664,Cash,February,366
12-07-2024,Utilities,12249,Online,March,1225
13-07-2024,Rent,558,Card,December,56
14-07-2024,Entertainment,9916,Online,June,992
14-07-2024,Entertainment,9572,Online,June,957
16-07-2024,Transport,4573,Cash,August,457
19-07-2024,Food,11636,Cash,August,1164
19-07-2024,Health,2917,Card,January,292
19-07-2024,Utilities,6606,Online,November,661
20-07-2024,Utilities,8328,Cash,August,833
21-07-2024,Food,3733,Card,June,373
21-07-2024,Utilities,9869,Card,May,987
22-07-2024,Rent,2069,Cash,September,207
24-07-2024,Health,12557,Cash,November,1256
25-07-2024,Food,5452,Card,September,545
26-07-2024,Rent,101,Online,November,10
31-07-2024,Rent,12198,Online,September,1220
02-08-2024,Rent,12389,Online,October,1239
02-08-2024,Transport,906,Cash,July,91
04-08-2024,Transport,4030,Card,April,403
04-08-2024,Food,10239,Cash,October,1024
04-08-2024,Food,12268,Cash,August,1227
05-08-2024,Shopping,991,Card,September,99
05-08-2024,Health,13062,Cash,November,1306
07-08-2024,Rent,3156,Card,April,316
07-08-2024,Entertainment,13705,Card,September,1371
07-08-2024,Shopping,3373,Cash,March,337
07-08-2024,Shopping,4744,Online,January,474
10-08-2024,Health,10766,Card,December,1077
10-08-2024,Utilities,7411,Card,October,741
12-08-2024,Health,6735,Card,April,674
12-08-2024,Shopping,10798,Online,March,1080
12-08-2024,Rent,1198,Online,September,120
13-08-2024,Health,13712,Card,September,1371
14-08-2024,Shopping,3141,Cash,July,314
14-08-2024,Rent,13386,Online,May,1339
16-08-2024,Shopping,12300,Cash,October,1230
17-08-2024,Shopping,3754,Online,April,375
17-08-2024,Food,4209,Card,September,421
18-08-2024,Food,12291,Cash,April,1229
18-08-2024,Health,13118,Cash,December,1312
18-08-2024,Rent,14970,Online,March,1497
20-08-2024,Health,2996,Card,June,300
20-08-2024,Utilities,1341,Card,June,134
20-08-2024,Food,6147,Cash,August,615
20-08-2024,Health,6670,Online,April,667
21-08-2024,Food,1923,Online,December,192
22-08-2024,Rent,10928,Online,November,1093
24-08-2024,Transport,9300,Card,August,930
28-08-2024,Transport,377,Cash,February,38
29-08-2024,Entertainment,732,Online,March,73
29-08-2024,Food,10668,Online,November,1067
30-08-2024,Utilities,4669,Cash,November,467
31-08-2024,Food,2566,Cash,December,257
02-09-2024,Health,8004,Card,August,800
03-09-2024,Transport,12604,Online,October,1260
03-09-2024,Health,8882,Cash,July,888
07-09-2024,Food,10394,Cash,October,1039
08-09-2024,Food,9616,Card,July,962
08-09-2024,Health,13371,Cash,September,1337
09-09-2024,Shopping,1036,Online,January,104
09-09-2024,Shopping,13853,Cash,June,1385
09-09-2024,Health,2171,Cash,April,217
09-09-2024,Utilities,12881,Card,August,1288
09-09-2024,Food,14594,Cash,September,1459
10-09-2024,Food,10091,Card,August,1009
10-09-2024,Rent,13721,Online,October,1372
10-09-2024,Food,12530,Card,January,1253
12-09-2024,Utilities,10626,Online,May,1063
12-09-2024,Health,3553,Cash,March,355
14-09-2024,Shopping,5009,Online,June,501
15-09-2024,Transport,14152,Card,January,1415
15-09-2024,Entertainment,14388,Online,June,1439
19-09-2024,Health,313,Online,August,31
20-09-2024,Utilities,10285,Cash,November,1029
21-09-2024,Health,506,Card,August,51
24-09-2024,Health,12318,Card,August,1232
24-09-2024,Utilities,5804,Online,November,580
25-09-2024,Food,3278,Card,May,328
26-09-2024,Food,3120,Card,November,312
27-09-2024,Food,9255,Cash,March,926
27-09-2024,Health,5168,Card,April,517
28-09-2024,Rent,4685,Online,February,469
29-09-2024,Transport,5352,Online,October,535
30-09-2024,Health,4976,Cash,February,498
03-10-2024,Rent,3489,Card,July,349
03-10-2024,Utilities,1366,Online,January,137
03-10-2024,Shopping,11693,Online,March,1169
03-10-2024,Shopping,2975,Card,February,298
05-10-2024,Rent,10793,Card,December,1079
06-10-2024,Shopping,6159,Cash,May,616
06-10-2024,Rent,6178,Online,October,618
09-10-2024,Utilities,11901,Cash,February,1190
09-10-2024,Entertainment,11248,Cash,December,1125
10-10-2024,Transport,9041,Card,September,904
11-10-2024,Utilities,9210,Cash,December,921
11-10-2024,Shopping,3330,Online,December,333
14-10-2024,Utilities,11271,Online,March,1127
15-10-2024,Transport,656,Online,May,66
15-10-2024,Rent,9306,Online,August,931
20-10-2024,Rent,1059,Card,October,106
22-10-2024,Shopping,417,Online,August,42
24-10-2024,Entertainment,13803,Cash,June,1380
27-10-2024,Entertainment,3197,Card,September,320
28-10-2024,Transport,9194,Card,May,919
28-10-2024,Transport,11973,Cash,March,1197
30-10-2024,Shopping,8883,Cash,February,888
31-10-2024,Entertainment,1225,Card,April,123
31-10-2024,Food,7162,Card,March,716
04-11-2024,Food,14999,Card,April,1500
09-11-2024,Rent,4655,Card,January,466
09-11-2024,Health,924,Cash,April,92
11-11-2024,Transport,10322,Online,December,1032
11-11-2024,Shopping,1835,Card,January,184
13-11-2024,Food,2944,Card,August,294
16-11-2024,Rent,1625,Online,August,163
18-11-2024,Rent,6775,Online,March,678
18-11-2024,Food,5731,Cash,July,573
20-11-2024,Transport,402,Online,May,40
21-11-2024,Food,1975,Cash,August,198
22-11-2024,Transport,9535,Cash,April,954
25-11-2024,Transport,10206,Card,February,1021
26-11-2024,Entertainment,9755,Card,December,976
26-11-2024,Entertainment,8320,Online,August,832
01-12-2024,Shopping,10155,Card,November,1016
03-12-2024,Entertainment,2025,Online,February,203
03-12-2024,Transport,1489,Online,February,149
03-12-2024,Transport,13734,Online,April,1373
04-12-2024,Utilities,5595,Online,October,560
05-12-2024,Health,1390,Card,May,139
05-12-2024,Entertainment,2528,Online,May,253
06-12-2024,Entertainment,10325,Online,March,1033
07-12-2024,Transport,11122,Card,November,1112
07-12-2024,Rent,6384,Cash,July,638
07-12-2024,Rent,12688,Online,October,1269
09-12-2024,Entertainment,462,Card,May,46
09-12-2024,Entertainment,5790,Online,February,579
11-12-2024,Shopping,2533,Online,May,253
11-12-2024,Utilities,2033,Online,July,203
11-12-2024,Shopping,9868,Online,February,987
11-12-2024,Rent,2025,Card,July,203
13-12-2024,Health,7913,Cash,January,791
13-12-2024,Entertainment,730,Cash,September,73
13-12-2024,Rent,3710,Online,November,371
14-12-2024,Health,8812,Card,July,881
14-12-2024,Utilities,13618,Online,July,1362
15-12-2024,Transport,6756,Online,January,676
19-12-2024,Shopping,3914,Card,January,391
22-12-2024,Entertainment,7619,Online,December,762
23-12-2024,Transport,807,Cash,October,81
24-12-2024,Utilities,7366,Cash,November,737
26-12-2024,Shopping,9876,Cash,July,988
30-12-2024,Utilities,14994,Card,May,1499
30-12-2024,Food,13358,Card,June,1336
01-01-2025,Food,13339,Cash,September,1334
01-01-2025,Shopping,9006,Cash,March,901
03-01-2025,Transport,6571,Online,April,657
03-01-2025,Transport,1087,Online,September,109
04-01-2025,Utilities,6152,Cash,October,615
07-01-2025,Health,5201,Online,June,520
07-01-2025,Rent,11707,Online,August,1171
07-01-2025,Shopping,5151,Cash,April,515
07-01-2025,Utilities,11263,Cash,January,1126
08-01-2025,Transport,3193,Cash,October,319
09-01-2025,Entertainment,614,Cash,January,61
10-01-2025,Transport,2290,Online,November,229
11-01-2025,Food,14394,Cash,May,1439
13-01-2025,Shopping,9117,Card,August,912
14-01-2025,Rent,8225,Cash,June,823
14-01-2025,Transport,1412,Cash,December,141
18-01-2025,Utilities,5343,Online,January,534
19-01-2025,Transport,2355,Cash,January,236
19-01-2025,Utilities,12957,Cash,November,1296
20-01-2025,Health,9176,Cash,April,918
20-01-2025,Utilities,14364,Online,November,1436
20-01-2025,Utilities,4832,Cash,April,483
21-01-2025,Health,13798,Cash,September,1380
21-01-2025,Entertainment,1349,Online,September,135
22-01-2025,Health,9710,Online,September,971
22-01-2025,Rent,7387,Online,January,739
24-01-2025,Health,11911,Cash,June,1191
24-01-2025,Transport,9275,Cash,June,928
26-01-2025,Rent,2530,Card,November,253
26-01-2025,Rent,4895,Online,April,490
27-01-2025,Shopping,1068,Card,July,107
27-01-2025,Rent,14456,Card,November,1446
27-01-2025,Utilities,12973,Cash,May,1297
27-01-2025,Rent,5147,Cash,March,515
28-01-2025,Shopping,12692,Cash,August,1269
30-01-2025,Health,10703,Cash,December,1070
30-01-2025,Rent,240,Online,March,24
31-01-2025,Shopping,8334,Online,June,833
31-01-2025,Utilities,588,Cash,June,59
01-02-2025,Shopping,10806,Card,June,1081
01-02-2025,Rent,14059,Card,October,1406
01-02-2025,Shopping,14271,Cash,December,1427
03-02-2025,Entertainment,1746,Card,January,175
04-02-2025,Rent,14822,Card,June,1482
04-02-2025,Transport,13495,Cash,January,1350
05-02-2025,Entertainment,11894,Online,September,1189
05-02-2025,Rent,5395,Card,December,540
06-02-2025,Utilities,216,Online,January,22
06-02-2025,Utilities,3710,Cash,January,371
07-02-2025,Shopping,11140,Card,July,1114
10-02-2025,Shopping,11621,Card,June,1162
10-02-2025,Transport,7591,Cash,May,759
11-02-2025,Rent,6804,Cash,September,680
11-02-2025,Health,625,Card,April,63
12-02-2025,Rent,7722,Cash,October,772
14-02-2025,Transport,3442,Card,May,344
16-02-2025,Utilities,4906,Card,January,491
17-02-2025,Shopping,7927,Cash,April,793
18-02-2025,Utilities,9482,Cash,June,948
18-02-2025,Entertainment,4297,Cash,March,430
18-02-2025,Rent,10717,Online,November,1072
19-02-2025,Health,8811,Online,May,881
20-02-2025,Shopping,5308,Card,January,531
21-02-2025,Food,1467,Card,June,147
22-02-2025,Shopping,14568,Card,February,1457
23-02-2025,Health,7114,Card,March,711
23-02-2025,Transport,9208,Cash,November,921
25-02-2025,Transport,5391,Cash,July,539
25-02-2025,Transport,189,Card,September,19
02-03-2025,Entertainment,8233,Card,August,823
03-03-2025,Entertainment,9279,Cash,September,928
07-03-2025,Food,7275,Card,November,728
10-03-2025,Utilities,7451,Online,August,745
11-03-2025,Shopping,8156,Online,August,816
13-03-2025,Shopping,10426,Online,December,1043
14-03-2025,Health,14097,Online,June,1410
16-03-2025,Transport,2449,Cash,March,245
17-03-2025,Health,6546,Cash,November,655
17-03-2025,Entertainment,12341,Online,October,1234
19-03-2025,Health,729,Card,June,73
20-03-2025,Shopping,9952,Card,October,995
20-03-2025,Transport,13278,Online,October,1328
22-03-2025,Shopping,1339,Online,July,134
25-03-2025,Food,307,Cash,December,31
26-03-2025,Entertainment,6907,Online,August,691
28-03-2025,Food,12096,Online,April,1210
28-03-2025,Entertainment,13747,Card,October,1375
28-03-2025,Transport,14527,Card,December,1453
30-03-2025,Entertainment,10974,Cash,August,1097
30-03-2025,Rent,9306,Cash,July,931
31-03-2025,Food,9754,Card,May,975
31-03-2025,Entertainment,12980,Cash,December,1298
31-03-2025,Health,138,Cash,December,14
01-04-2025,Health,11860,Card,August,1186
03-04-2025,Food,7586,Card,October,759
04-04-2025,Shopping,11677,Online,October,1168
04-04-2025,Shopping,12613,Cash,August,1261
05-04-2025,Entertainment,671,Cash,November,67
05-04-2025,Entertainment,3974,Card,July,397
06-04-2025,Transport,5333,Online,January,533
06-04-2025,Entertainment,7109,Card,February,711
08-04-2025,Transport,1863,Cash,July,186
11-04-2025,Shopping,4905,Card,October,491
13-04-2025,Transport,13745,Online,October,1375
14-04-2025,Health,994,Online,June,99
15-04-2025,Transport,14396,Card,November,1440
15-04-2025,Shopping,7943,Card,July,794
16-04-2025,Shopping,3878,Card,April,388
16-04-2025,Health,13581,Online,April,1358
17-04-2025,Food,5520,Cash,March,552
17-04-2025,Transport,8719,Cash,October,872
17-04-2025,Utilities,14514,Online,May,1451
18-04-2025,Rent,1374,Cash,September,137
18-04-2025,Health,4570,Cash,October,457
19-04-2025,Transport,14065,Card,February,1407
19-04-2025,Shopping,14299,Card,September,1430
20-04-2025,Entertainment,3140,Card,July,314
20-04-2025,Food,7314,Card,October,731
21-04-2025,Health,5470,Card,March,547
21-04-2025,Rent,3691,Card,April,369
21-04-2025,Entertainment,3020,Online,July,302
25-04-2025,Transport,2027,Cash,December,203
28-04-2025,Entertainment,6112,Card,January,611
29-04-2025,Entertainment,7412,Card,November,741
29-04-2025,Shopping,1365,Online,December,137
02-05-2025,Food,13572,Card,April,1357
03-05-2025,Entertainment,12152,Card,March,1215
04-05-2025,Rent,5250,Cash,November,525
04-05-2025,Food,9561,Cash,May,956
